Name,Location,Type,Religious Affiliation,Rating,Features
Attraction 717,Tyre,Nature,Islam,7.0,"Street Food, Markets, Vegan Options"
Attraction 718,North Leban,Culinary,None,6.0,"Street Food, Roman Architecture, Traditional Dishes, Scenic Views"
Attraction 719,Tyre,Culinary,None,9.1,"Roman Architecture, Snow Activities"
Attraction 720,Baalbek,Nature,Islam,8.7,"Beaches, Vegan Options"
Attraction 721,North Leban,Culinary,Christianity,8.3,"Cultural Experience, Hiking"
Attraction 722,Byblos,Nature,Islam,6.2,"Traditional Dishes, Cooking Classes, Historical Production, Local Cuisine"
Attraction 723,Tyre,Culinary,Islam,5.5,"Historical Production, Street Food"
Attraction 724,Sidon,Historical,Islam,7.9,"Ancient Ruins, Scenic Views"
Attraction 725,Byblos,Culinary,Islam,7.8,"Historical Production, Street Food, Traditional Dishes, Panoramic Views"
Attraction 726,Mount Leban,Nature,Christianity,5.9,"Panoramic Views, Vegan Options, Roman Architecture, Cooking Classes"
Attraction 727,Mount Leban,Culinary,Islam,5.3,"Scenic Views, Traditional Dishes, Vegan Options, Panoramic Views"
Attraction 728,Beirut,Nature,Christianity,5.4,"Cooking Classes, Roman Architecture, Vegan Options, Ancient Ruins"
Attraction 729,Baalbek,Nature,Islam,10.0,"Cultural Experience, Roman Architecture, Relaxing"
Attraction 730,North Leban,Historical,None,8.9,"Beaches, Historical Production, Religious Sites"
Attraction 731,Tripoli,Historical,Christianity,9.6,"Traditional Dishes, Beaches"
Attraction 732,Sidon,Nature,None,6.0,"Ancient Ruins, Historical Production, Hiking, Markets"
Attraction 733,Tyre,Culinary,Islam,9.8,"Local Cuisine, Cooking Classes"
Attraction 734,Byblos,Nature,Islam,5.7,"Street Food, Traditional Dishes"
Attraction 735,Mount Leban,Nature,Islam,7.5,"Historical Production, Religious Sites, Traditional Dishes, Snow Activities"
Attraction 736,Sidon,Culinary,Christianity,9.1,"Workshops, Roman Architecture"
Attraction 737,Tripoli,Culinary,None,6.7,"Vegan Options, Snow Activities, Hiking"
Attraction 738,North Leban,Culinary,Christianity,7.1,"Historical Production, Markets"
Attraction 739,Beirut,Culinary,Christianity,5.6,"Markets, Workshops, Scenic Views, Religious Sites"
Attraction 740,Tripoli,Nature,Islam,5.6,"Snow Activities, Religious Sites, Scenic Views"
Attraction 741,Sidon,Nature,None,8.1,"Local Cuisine, Roman Architecture, Ancient Ruins, Snow Activities"
Attraction 742,Tripoli,Historical,Islam,8.4,"Street Food, Cultural Experience, Relaxing, Scenic Views"
Attraction 743,Sidon,Nature,Christianity,8.9,"Street Food, Scenic Views, Ancient Ruins"
Attraction 744,Sidon,Culinary,Islam,7.8,"Markets, Vegan Options, Historical Production, Ancient Ruins"
Attraction 745,Bsharri,Historical,None,8.2,"Hiking, Roman Architecture, Snow Activities"
Attraction 746,Tyre,Culinary,Islam,5.1,"Snow Activities, Hiking, Cultural Experience"
Attraction 747,Mount Leban,Nature,None,5.8,"Beaches, Snow Activities, Vegan Options"
Attraction 748,Bsharri,Historical,None,9.9,"Local Cuisine, Roman Architecture, Street Food, Cultural Experience"
Attraction 749,North Leban,Culinary,Islam,5.4,"Historical Production, Ancient Ruins, Relaxing, Workshops"
Attraction 750,Bsharri,Historical,Christianity,8.4,"Vegan Options, Markets, Workshops"
Attraction 751,Baalbek,Historical,Islam,5.9,"Workshops, Markets, Cultural Experience, Historical Production"
Attraction 752,Baalbek,Nature,Christianity,8.6,"Relaxing, Markets"
Attraction 753,Mount Leban,Culinary,Christianity,8.5,"Ancient Ruins, Scenic Views, Historical Production"
Attraction 754,Tripoli,Historical,Islam,6.2,"Beaches, Local Cuisine, Cooking Classes, Workshops"
Attraction 755,Tyre,Historical,Christianity,6.3,"Markets, Local Cuisine, Ancient Ruins, Scenic Views"
Attraction 756,Mount Leban,Culinary,Christianity,8.3,"Relaxing, Markets, Panoramic Views, Historical Production"
Attraction 757,Sidon,Historical,Islam,7.0,"Markets, Street Food"
Attraction 758,Byblos,Historical,Islam,6.0,"Hiking, Vegan Options, Beaches, Cultural Experience"
Attraction 759,Tyre,Historical,Islam,8.7,"Vegan Options, Hiking"
Attraction 760,Tyre,Culinary,Christianity,5.8,"Relaxing, Street Food, Religious Sites, Snow Activities"
Attraction 761,Sidon,Culinary,None,9.3,"Religious Sites, Cultural Experience, Roman Architecture"
Attraction 762,Sidon,Culinary,Christianity,7.6,"Beaches, Cultural Experience, Panoramic Views, Cooking Classes"
Attraction 763,Beirut,Culinary,None,5.5,"Cultural Experience, Cooking Classes"
Attraction 764,Mount Leban,Nature,Islam,8.5,"Workshops, Cultural Experience"
Attraction 765,Sidon,Historical,None,7.6,"Workshops, Beaches, Snow Activities"
Attraction 766,Baalbek,Culinary,Islam,6.5,"Cultural Experience, Traditional Dishes"
Attraction 767,North Leban,Historical,Islam,7.1,"Local Cuisine, Markets"
Attraction 768,Byblos,Historical,None,6.5,"Scenic Views, Beaches"
Attraction 769,Mount Leban,Nature,Islam,6.3,"Scenic Views, Panoramic Views, Traditional Dishes, Cultural Experience"
Attraction 770,Baalbek,Culinary,None,5.8,"Cooking Classes, Workshops"
Attraction 771,Tripoli,Culinary,Islam,6.8,"Roman Architecture, Snow Activities, Traditional Dishes, Vegan Options"
Attraction 772,Sidon,Historical,Christianity,6.3,"Traditional Dishes, Cooking Classes, Markets"
Attraction 773,Sidon,Culinary,Christianity,8.4,"Cultural Experience, Traditional Dishes, Snow Activities, Street Food"
Attraction 774,Tyre,Historical,Islam,8.4,"Local Cuisine, Cooking Classes, Vegan Options"
Attraction 775,Baalbek,Historical,Islam,7.5,"Beaches, Scenic Views, Panoramic Views, Ancient Ruins"
Attraction 776,Tyre,Nature,None,8.9,"Cultural Experience, Historical Production, Traditional Dishes"
Attraction 777,Beirut,Nature,Christianity,9.2,"Workshops, Cultural Experience, Hiking, Panoramic Views"
Attraction 778,Tyre,Nature,None,7.9,"Beaches, Snow Activities, Scenic Views, Hiking"
Attraction 779,Beirut,Historical,Islam,8.1,"Historical Production, Traditional Dishes, Beaches"
Attraction 780,Beirut,Culinary,Islam,6.4,"Traditional Dishes, Religious Sites, Street Food, Local Cuisine"
Attraction 781,Sidon,Nature,None,9.5,"Vegan Options, Cooking Classes, Snow Activities, Traditional Dishes"
Attraction 782,Tripoli,Culinary,Islam,5.1,"Workshops, Local Cuisine"
Attraction 783,Tyre,Nature,Christianity,6.7,"Street Food, Markets, Religious Sites"
Attraction 784,Baalbek,Nature,None,8.6,"Traditional Dishes, Vegan Options, Snow Activities"
Attraction 785,Beirut,Historical,Christianity,5.4,"Cultural Experience, Ancient Ruins, Snow Activities, Workshops"
Attraction 786,Sidon,Nature,Christianity,5.9,"Markets, Workshops, Panoramic Views"
Attraction 787,Byblos,Nature,Christianity,7.9,"Ancient Ruins, Relaxing, Religious Sites"
Attraction 788,Mount Leban,Historical,None,7.8,"Vegan Options, Historical Production, Beaches"
Attraction 789,Tripoli,Culinary,Islam,8.7,"Street Food, Traditional Dishes, Vegan Options"
Attraction 790,Bsharri,Nature,Christianity,9.1,"Relaxing, Cultural Experience, Cooking Classes"
Attraction 791,Byblos,Historical,Christianity,5.6,"Workshops, Cultural Experience, Relaxing, Panoramic Views"
Attraction 792,Mount Leban,Nature,Christianity,5.1,"Scenic Views, Ancient Ruins, Street Food, Roman Architecture"
Attraction 793,Byblos,Historical,Islam,8.4,"Scenic Views, Panoramic Views, Relaxing, Markets"
Attraction 794,Tyre,Culinary,Islam,6.5,"Historical Production, Snow Activities, Street Food, Markets"
Attraction 795,Beirut,Culinary,None,8.1,"Roman Architecture, Street Food"
Attraction 796,Tripoli,Historical,Islam,5.8,"Markets, Cultural Experience, Relaxing, Street Food"
Attraction 797,North Leban,Historical,None,7.3,"Workshops, Cooking Classes"
Attraction 798,Beirut,Historical,None,7.5,"Street Food, Relaxing"
Attraction 799,North Leban,Culinary,None,7.9,"Roman Architecture, Panoramic Views, Cooking Classes"
Attraction 800,Mount Leban,Nature,None,7.6,"Street Food, Scenic Views, Traditional Dishes"
Attraction 801,Sidon,Culinary,None,7.5,"Cooking Classes, Cultural Experience, Workshops, Hiking"
Attraction 802,Bsharri,Historical,Christianity,6.7,"Vegan Options, Traditional Dishes"
Attraction 803,Baalbek,Historical,Islam,5.4,"Street Food, Cultural Experience, Relaxing"
Attraction 804,Beirut,Culinary,Christianity,5.4,"Ancient Ruins, Street Food, Hiking"
Attraction 805,Tripoli,Historical,None,7.2,"Snow Activities, Hiking, Markets"
Attraction 806,Byblos,Culinary,Islam,6.8,"Traditional Dishes, Beaches, Hiking"
Attraction 807,Tripoli,Historical,Christianity,7.6,"Religious Sites, Workshops, Hiking, Cooking Classes"
Attraction 808,Mount Leban,Nature,Christianity,6.5,"Beaches, Vegan Options, Hiking, Ancient Ruins"
Attraction 809,North Leban,Nature,None,8.4,"Vegan Options, Religious Sites, Traditional Dishes, Historical Production"
Attraction 810,Byblos,Historical,Christianity,9.3,"Traditional Dishes, Cultural Experience, Scenic Views"
Attraction 811,Baalbek,Culinary,Christianity,6.5,"Ancient Ruins, Snow Activities, Hiking"
Attraction 812,Baalbek,Nature,Christianity,6.0,"Panoramic Views, Workshops"
Attraction 813,Beirut,Culinary,Christianity,5.6,"Relaxing, Ancient Ruins"
Attraction 814,Mount Leban,Historical,Christianity,8.1,"Markets, Cultural Experience, Traditional Dishes"
Attraction 815,Sidon,Culinary,None,7.2,"Ancient Ruins, Panoramic Views"
Attraction 816,Mount Leban,Nature,None,5.9,"Local Cuisine, Hiking, Snow Activities"
Attraction 817,North Leban,Culinary,Christianity,8.3,"Workshops, Snow Activities, Hiking, Panoramic Views"
Attraction 818,Tripoli,Culinary,None,5.7,"Cultural Experience, Historical Production, Roman Architecture"
Attraction 819,Baalbek,Historical,None,7.8,"Traditional Dishes, Snow Activities, Religious Sites"
Attraction 820,Tripoli,Historical,Islam,7.6,"Beaches, Vegan Options"
Attraction 821,Tripoli,Historical,Christianity,8.7,"Local Cuisine, Snow Activities, Cooking Classes"
Attraction 822,Tripoli,Nature,None,5.3,"Traditional Dishes, Markets"
Attraction 823,Baalbek,Nature,None,9.4,"Historical Production, Vegan Options"
Attraction 824,Tyre,Historical,Christianity,8.5,"Scenic Views, Cooking Classes, Historical Production"
Attraction 825,North Leban,Historical,Islam,6.1,"Workshops, Snow Activities, Historical Production, Vegan Options"
Attraction 826,North Leban,Nature,Christianity,5.9,"Panoramic Views, Local Cuisine, Cooking Classes"
Attraction 827,Byblos,Nature,Islam,7.2,"Hiking, Street Food, Scenic Views"
Attraction 828,Mount Leban,Nature,Christianity,9.1,"Scenic Views, Religious Sites, Vegan Options, Traditional Dishes"
Attraction 829,Mount Leban,Nature,Christianity,9.2,"Scenic Views, Cooking Classes, Local Cuisine"
Attraction 830,Bsharri,Historical,Christianity,7.6,"Local Cuisine, Roman Architecture, Cooking Classes, Historical Production"
Attraction 831,Mount Leban,Nature,Christianity,9.3,"Ancient Ruins, Religious Sites"
Attraction 832,Baalbek,Historical,Islam,5.0,"Beaches, Roman Architecture, Cooking Classes"
Attraction 833,Sidon,Culinary,Islam,5.2,"Workshops, Scenic Views, Beaches, Roman Architecture"
Attraction 834,Beirut,Culinary,None,9.6,"Roman Architecture, Vegan Options"
Attraction 835,Bsharri,Nature,Christianity,8.9,"Roman Architecture, Traditional Dishes, Snow Activities"
Attraction 836,Beirut,Culinary,Islam,7.3,"Hiking, Relaxing, Vegan Options, Scenic Views"
Attraction 837,North Leban,Culinary,Islam,8.8,"Cooking Classes, Beaches"
Attraction 838,Beirut,Culinary,Islam,9.8,"Religious Sites, Local Cuisine, Beaches"
Attraction 839,Beirut,Nature,Christianity,8.9,"Religious Sites, Vegan Options"
Attraction 840,Bsharri,Nature,None,9.2,"Historical Production, Cultural Experience"
Attraction 841,Byblos,Culinary,Islam,8.8,"Vegan Options, Cooking Classes, Workshops, Panoramic Views"
Attraction 842,Tripoli,Historical,Christianity,5.8,"Historical Production, Scenic Views, Panoramic Views"
Attraction 843,Mount Leban,Culinary,Islam,9.2,"Street Food, Cultural Experience"
Attraction 844,Mount Leban,Nature,Islam,6.0,"Hiking, Relaxing, Street Food"
Attraction 845,Baalbek,Nature,None,9.5,"Snow Activities, Beaches, Markets, Cultural Experience"
Attraction 846,Bsharri,Nature,Islam,7.3,"Markets, Historical Production, Snow Activities"
Attraction 847,Baalbek,Culinary,Islam,8.4,"Local Cuisine, Scenic Views, Beaches, Ancient Ruins"
Attraction 848,Sidon,Historical,Christianity,7.5,"Local Cuisine, Snow Activities, Hiking, Traditional Dishes"
Attraction 849,Sidon,Nature,Christianity,5.5,"Workshops, Street Food"
Attraction 850,Baalbek,Nature,None,6.5,"Roman Architecture, Ancient Ruins, Scenic Views"
Attraction 851,Bsharri,Culinary,Christianity,9.9,"Snow Activities, Roman Architecture"
Attraction 852,Baalbek,Historical,Christianity,9.8,"Scenic Views, Hiking, Panoramic Views"
Attraction 853,Mount Leban,Culinary,None,6.6,"Roman Architecture, Snow Activities, Cultural Experience, Historical Production"
Attraction 854,Tyre,Nature,Islam,10.0,"Religious Sites, Historical Production, Relaxing"
Attraction 855,Beirut,Historical,None,9.2,"Cultural Experience, Traditional Dishes, Roman Architecture, Markets"
Attraction 856,Tyre,Historical,Christianity,8.1,"Vegan Options, Historical Production"
Attraction 857,Bsharri,Nature,None,5.2,"Street Food, Workshops"
Attraction 858,Tyre,Historical,Islam,9.5,"Cooking Classes, Historical Production, Workshops"
Attraction 859,Sidon,Historical,None,7.8,"Beaches, Traditional Dishes, Hiking"
Attraction 860,North Leban,Culinary,Christianity,9.3,"Panoramic Views, Relaxing"
Attraction 861,Beirut,Nature,Christianity,9.2,"Vegan Options, Cooking Classes, Relaxing"
Attraction 862,Tripoli,Nature,None,9.2,"Markets, Religious Sites, Scenic Views"
Attraction 863,Bsharri,Nature,Islam,8.5,"Cooking Classes, Traditional Dishes"
Attraction 864,Beirut,Nature,None,6.5,"Vegan Options, Snow Activities, Markets, Scenic Views"
Attraction 865,Tyre,Nature,Islam,6.7,"Markets, Traditional Dishes, Ancient Ruins"
Attraction 866,Sidon,Historical,Islam,6.5,"Panoramic Views, Cooking Classes"
Attraction 867,Byblos,Culinary,None,5.1,"Workshops, Local Cuisine, Street Food, Cooking Classes"
Attraction 868,Tripoli,Nature,Islam,7.9,"Historical Production, Panoramic Views, Local Cuisine"
Attraction 869,Beirut,Culinary,Christianity,8.5,"Local Cuisine, Roman Architecture, Beaches"
Attraction 870,Sidon,Culinary,None,9.3,"Cooking Classes, Local Cuisine, Snow Activities, Traditional Dishes"
Attraction 871,Sidon,Historical,Islam,5.7,"Historical Production, Relaxing, Vegan Options"
Attraction 872,Tyre,Nature,Christianity,7.7,"Workshops, Panoramic Views, Historical Production"
Attraction 873,Mount Leban,Historical,None,5.0,"Cultural Experience, Workshops, Scenic Views"
Attraction 874,Tyre,Nature,Christianity,5.5,"Relaxing, Ancient Ruins, Cooking Classes"
Attraction 875,Mount Leban,Historical,Christianity,5.3,"Snow Activities, Local Cuisine, Panoramic Views, Religious Sites"
Attraction 876,Mount Leban,Culinary,Christianity,8.6,"Vegan Options, Markets, Scenic Views"
Attraction 877,Tripoli,Nature,Islam,5.4,"Cooking Classes, Vegan Options, Historical Production"
Attraction 878,Tyre,Culinary,None,8.6,"Cultural Experience, Religious Sites"
Attraction 879,Byblos,Culinary,None,6.2,"Workshops, Religious Sites, Roman Architecture"
Attraction 880,Baalbek,Historical,Islam,9.4,"Beaches, Traditional Dishes, Vegan Options, Roman Architecture"
Attraction 881,Baalbek,Nature,None,9.1,"Local Cuisine, Cooking Classes"
Attraction 882,Tyre,Culinary,Christianity,9.8,"Relaxing, Vegan Options"
Attraction 883,Tyre,Historical,None,9.4,"Local Cuisine, Hiking, Beaches"
Attraction 884,Tripoli,Nature,Islam,9.7,"Cultural Experience, Local Cuisine, Street Food, Scenic Views"
Attraction 885,Tyre,Nature,Christianity,9.3,"Hiking, Religious Sites, Workshops"
Attraction 886,Mount Leban,Culinary,Islam,8.5,"Relaxing, Panoramic Views"
Attraction 887,Sidon,Nature,Christianity,5.9,"Roman Architecture, Workshops, Ancient Ruins, Hiking"
Attraction 888,Sidon,Culinary,Christianity,6.4,"Religious Sites, Scenic Views"
Attraction 889,Mount Leban,Nature,None,6.1,"Cultural Experience, Workshops, Scenic Views"
Attraction 890,Bsharri,Historical,Christianity,8.0,"Historical Production, Markets, Ancient Ruins, Workshops"
Attraction 891,Mount Leban,Culinary,Islam,7.5,"Religious Sites, Markets, Scenic Views, Historical Production"
Attraction 892,Byblos,Culinary,None,9.3,"Beaches, Historical Production, Local Cuisine"
Attraction 893,North Leban,Nature,Islam,9.8,"Workshops, Historical Production, Hiking"
Attraction 894,Beirut,Nature,Christianity,7.0,"Cooking Classes, Vegan Options, Historical Production, Street Food"
Attraction 895,Mount Leban,Culinary,Islam,7.5,"Roman Architecture, Panoramic Views, Workshops, Snow Activities"
Attraction 896,Tyre,Nature,Islam,9.9,"Snow Activities, Cultural Experience"
Attraction 897,Tyre,Historical,Christianity,6.4,"Panoramic Views, Religious Sites, Snow Activities"
Attraction 898,Tripoli,Nature,None,9.0,"Workshops, Street Food, Local Cuisine, Scenic Views"
Attraction 899,Mount Leban,Historical,Islam,6.1,"Cooking Classes, Historical Production, Scenic Views, Markets"
Attraction 900,Tripoli,Historical,Christianity,8.4,"Scenic Views, Local Cuisine, Hiking"
Attraction 901,Mount Leban,Historical,None,6.3,"Cultural Experience, Workshops, Beaches"
Attraction 902,Beirut,Historical,None,9.4,"Vegan Options, Scenic Views, Roman Architecture, Traditional Dishes"
Attraction 903,North Leban,Historical,None,7.8,"Cultural Experience, Local Cuisine, Religious Sites, Ancient Ruins"
Attraction 904,Sidon,Nature,Islam,5.9,"Religious Sites, Roman Architecture"
Attraction 905,Baalbek,Historical,Islam,6.1,"Ancient Ruins, Roman Architecture, Snow Activities"
Attraction 906,Mount Leban,Nature,Islam,7.5,"Traditional Dishes, Markets, Panoramic Views"
Attraction 907,North Leban,Historical,None,9.8,"Cultural Experience, Beaches, Historical Production"
Attraction 908,Sidon,Culinary,Islam,8.8,"Religious Sites, Roman Architecture"
Attraction 909,Bsharri,Historical,Christianity,7.4,"Markets, Snow Activities, Street Food"
Attraction 910,Beirut,Culinary,Islam,6.7,"Religious Sites, Historical Production, Scenic Views, Ancient Ruins"
Attraction 911,Tripoli,Historical,Islam,7.7,"Relaxing, Historical Production, Traditional Dishes"
Attraction 912,Tripoli,Historical,None,8.7,"Markets, Cooking Classes, Religious Sites"
Attraction 913,Tyre,Historical,Islam,8.9,"Markets, Hiking, Relaxing"
Attraction 914,Sidon,Culinary,Christianity,6.6,"Traditional Dishes, Snow Activities"
Attraction 915,Bsharri,Culinary,None,8.6,"Hiking, Beaches"
Attraction 916,North Leban,Historical,Christianity,8.3,"Ancient Ruins, Hiking, Vegan Options"
Attraction 917,Beirut,Nature,None,9.8,"Cooking Classes, Scenic Views, Beaches"
Attraction 918,Sidon,Historical,None,9.7,"Traditional Dishes, Ancient Ruins, Snow Activities"
Attraction 919,Bsharri,Culinary,Islam,8.9,"Roman Architecture, Street Food, Markets, Beaches"
Attraction 920,Baalbek,Historical,Christianity,8.6,"Local Cuisine, Cooking Classes"
Attraction 921,Mount Leban,Culinary,None,6.4,"Hiking, Panoramic Views"
Attraction 922,Tripoli,Culinary,Islam,9.2,"Cultural Experience, Local Cuisine"
Attraction 923,North Leban,Culinary,None,7.1,"Ancient Ruins, Relaxing, Roman Architecture, Cooking Classes"
Attraction 924,Tripoli,Historical,None,6.4,"Local Cuisine, Vegan Options, Traditional Dishes"
Attraction 925,North Leban,Culinary,None,6.9,"Panoramic Views, Beaches, Historical Production"
Attraction 926,Tyre,Culinary,None,9.2,"Scenic Views, Workshops, Relaxing"
Attraction 927,North Leban,Historical,None,5.7,"Street Food, Ancient Ruins, Workshops, Cultural Experience"
Attraction 928,Tripoli,Culinary,None,7.3,"Hiking, Historical Production"
Attraction 929,North Leban,Historical,Islam,7.5,"Relaxing, Religious Sites"
Attraction 930,Baalbek,Culinary,None,5.2,"Street Food, Traditional Dishes, Vegan Options"
Attraction 931,Tyre,Nature,Christianity,6.0,"Vegan Options, Scenic Views"
Attraction 932,North Leban,Nature,Islam,9.1,"Street Food, Panoramic Views"
Attraction 933,Sidon,Culinary,Christianity,9.2,"Local Cuisine, Roman Architecture, Historical Production"
Attraction 934,Byblos,Nature,None,6.5,"Cultural Experience, Vegan Options, Roman Architecture"
Attraction 935,Bsharri,Historical,Christianity,9.4,"Relaxing, Roman Architecture"
Attraction 936,Byblos,Nature,None,8.9,"Workshops, Ancient Ruins"
Attraction 937,Byblos,Culinary,None,7.1,"Markets, Street Food, Vegan Options"
Attraction 938,Beirut,Culinary,Islam,8.7,"Snow Activities, Relaxing, Ancient Ruins, Cooking Classes"
Attraction 939,Baalbek,Historical,Islam,9.8,"Historical Production, Workshops"
Attraction 940,Sidon,Culinary,None,7.3,"Historical Production, Relaxing"
Attraction 941,Mount Leban,Historical,Islam,6.2,"Ancient Ruins, Beaches, Religious Sites, Local Cuisine"
Attraction 942,North Leban,Nature,Christianity,9.7,"Markets, Cultural Experience, Hiking"
Attraction 943,Bsharri,Nature,Islam,8.0,"Ancient Ruins, Cooking Classes, Markets"
Attraction 944,Tyre,Historical,Islam,5.5,"Workshops, Religious Sites, Beaches"
Attraction 945,Sidon,Historical,Christianity,7.9,"Historical Production, Beaches, Cultural Experience"
Attraction 946,Tripoli,Culinary,Islam,7.5,"Street Food, Workshops, Snow Activities"
Attraction 947,Mount Leban,Nature,None,9.3,"Cooking Classes, Panoramic Views, Snow Activities"
Attraction 948,Beirut,Historical,Christianity,7.7,"Scenic Views, Ancient Ruins, Hiking"
Attraction 949,Beirut,Nature,None,6.3,"Street Food, Relaxing"
Attraction 950,Sidon,Historical,Christianity,8.4,"Scenic Views, Hiking, Panoramic Views, Cooking Classes"
Attraction 951,Byblos,Nature,None,7.7,"Workshops, Roman Architecture"
Attraction 952,Tripoli,Culinary,None,6.2,"Traditional Dishes, Street Food"
Attraction 953,Beirut,Nature,Islam,7.9,"Panoramic Views, Vegan Options"
Attraction 954,Bsharri,Nature,None,9.1,"Scenic Views, Historical Production"
Attraction 955,Beirut,Nature,Islam,5.1,"Hiking, Roman Architecture, Ancient Ruins, Traditional Dishes"
Attraction 956,Tyre,Nature,Christianity,8.2,"Traditional Dishes, Roman Architecture"
Attraction 957,North Leban,Nature,None,6.7,"Vegan Options, Panoramic Views, Cooking Classes, Traditional Dishes"
Attraction 958,Beirut,Culinary,None,6.5,"Historical Production, Markets, Scenic Views, Snow Activities"
Attraction 959,Tyre,Historical,Christianity,7.0,"Hiking, Scenic Views, Ancient Ruins, Markets"
Attraction 960,Sidon,Nature,Christianity,6.7,"Cultural Experience, Vegan Options, Local Cuisine"
Attraction 961,Sidon,Culinary,None,9.2,"Cooking Classes, Cultural Experience, Local Cuisine, Snow Activities"
Attraction 962,Mount Leban,Nature,Christianity,6.4,"Vegan Options, Religious Sites, Relaxing"
Attraction 963,Beirut,Nature,Islam,8.7,"Workshops, Beaches, Panoramic Views, Ancient Ruins"
Attraction 964,Bsharri,Historical,Christianity,5.5,"Markets, Ancient Ruins, Roman Architecture"
Attraction 965,Beirut,Nature,Christianity,9.8,"Local Cuisine, Roman Architecture, Scenic Views"
Attraction 966,Bsharri,Culinary,None,8.1,"Workshops, Hiking"
Attraction 967,Baalbek,Culinary,Islam,8.5,"Vegan Options, Panoramic Views, Workshops, Historical Production"
Attraction 968,Mount Leban,Historical,Christianity,6.5,"Local Cuisine, Religious Sites, Scenic Views"
Attraction 969,Baalbek,Nature,Islam,7.1,"Scenic Views, Panoramic Views"
Attraction 970,Beirut,Culinary,Islam,6.1,"Traditional Dishes, Panoramic Views"
Attraction 971,Mount Leban,Nature,Islam,9.7,"Religious Sites, Cooking Classes, Traditional Dishes, Ancient Ruins"
Attraction 972,Baalbek,Nature,None,7.4,"Relaxing, Street Food"
Attraction 973,Byblos,Nature,Christianity,8.2,"Roman Architecture, Traditional Dishes"
Attraction 974,Beirut,Historical,None,8.7,"Roman Architecture, Markets, Workshops, Cultural Experience"
Attraction 975,Baalbek,Nature,Christianity,6.9,"Roman Architecture, Relaxing"
Attraction 976,Byblos,Culinary,Christianity,8.6,"Cooking Classes, Cultural Experience"
Attraction 977,Byblos,Nature,None,8.4,"Traditional Dishes, Snow Activities"
Attraction 978,Sidon,Culinary,Islam,8.5,"Snow Activities, Ancient Ruins, Hiking, Vegan Options"
Attraction 979,Beirut,Nature,Islam,7.4,"Historical Production, Religious Sites, Snow Activities, Relaxing"
Attraction 980,Byblos,Culinary,Christianity,6.9,"Workshops, Snow Activities, Cultural Experience"
Attraction 981,Sidon,Culinary,None,6.1,"Roman Architecture, Local Cuisine, Hiking"
Attraction 982,Baalbek,Nature,Islam,9.1,"Hiking, Local Cuisine"
Attraction 983,Tyre,Nature,Islam,8.0,"Traditional Dishes, Snow Activities, Roman Architecture"
Attraction 984,Beirut,Culinary,Christianity,7.2,"Workshops, Cooking Classes"
Attraction 985,Mount Leban,Historical,Christianity,9.7,"Hiking, Cultural Experience"
Attraction 986,Bsharri,Nature,None,5.2,"Scenic Views, Street Food"
Attraction 987,Bsharri,Historical,Christianity,9.3,"Religious Sites, Ancient Ruins, Hiking"
Attraction 988,Baalbek,Nature,Islam,10.0,"Workshops, Historical Production, Snow Activities, Panoramic Views"
Attraction 989,Baalbek,Nature,Islam,9.4,"Markets, Relaxing"
Attraction 990,Byblos,Nature,Islam,9.1,"Traditional Dishes, Roman Architecture, Scenic Views"
Attraction 991,Beirut,Nature,Islam,6.9,"Cultural Experience, Ancient Ruins, Relaxing"
Attraction 992,Bsharri,Historical,None,6.2,"Roman Architecture, Snow Activities, Cultural Experience"
Attraction 993,Bsharri,Nature,None,8.7,"Panoramic Views, Religious Sites, Snow Activities, Roman Architecture"
Attraction 994,Byblos,Culinary,Christianity,6.5,"Ancient Ruins, Markets, Hiking, Beaches"
Attraction 995,Bsharri,Culinary,Christianity,5.9,"Street Food, Religious Sites, Hiking"
Attraction 996,Mount Leban,Historical,Christianity,8.9,"Markets, Roman Architecture, Vegan Options, Cooking Classes"
Attraction 997,Beirut,Nature,None,6.6,"Snow Activities, Scenic Views, Religious Sites"
Attraction 998,North Leban,Culinary,Islam,9.6,"Historical Production, Beaches, Vegan Options"
Attraction 999,Bsharri,Historical,Christianity,9.2,"Vegan Options, Panoramic Views, Traditional Dishes"
Attraction 1000,Baalbek,Nature,Islam,9.2,"Historical Production, Snow Activities, Workshops, Religious Sites"
Attraction 1001,Mount Leban,Culinary,Christianity,8.9,"Scenic Views, Ancient Ruins"
Attraction 1002,Bsharri,Culinary,Christianity,9.4,"Street Food, Panoramic Views"
Attraction 1003,Mount Leban,Historical,Christianity,9.0,"Traditional Dishes, Hiking, Snow Activities"
Attraction 1004,Sidon,Nature,Christianity,8.0,"Relaxing, Vegan Options"
Attraction 1005,North Leban,Nature,Christianity,6.5,"Workshops, Cultural Experience, Historical Production"
Attraction 1006,Tripoli,Culinary,Islam,9.4,"Roman Architecture, Local Cuisine, Workshops, Cooking Classes"
Attraction 1007,Baalbek,Culinary,Christianity,9.2,"Panoramic Views, Local Cuisine"
Attraction 1008,Baalbek,Culinary,Islam,7.4,"Historical Production, Relaxing"
Attraction 1009,Beirut,Nature,None,5.2,"Markets, Traditional Dishes, Scenic Views"
Attraction 1010,Mount Leban,Historical,Christianity,8.2,"Hiking, Historical Production"
Attraction 1011,Byblos,Historical,Islam,5.3,"Historical Production, Roman Architecture"
Attraction 1012,Baalbek,Nature,None,9.6,"Ancient Ruins, Hiking, Snow Activities, Vegan Options"
